,data,open,high,low,close,Volume,name
173240,20170116,32150,32200,30600,30850,1658634,LG디스플레이
173241,20170117,31000,31400,30900,31200,890478,LG디스플레이
173242,20170118,31150,31600,31050,31550,1015221,LG디스플레이
173243,20170119,31550,31800,30800,31250,1174985,LG디스플레이
173244,20170120,31300,32100,31000,32050,1311326,LG디스플레이
173245,20170123,32300,32750,32100,32500,1613046,LG디스플레이
173246,20170124,33000,33150,31450,31750,2607463,LG디스플레이
173247,20170125,32000,32200,30350,30400,3640103,LG디스플레이
173248,20170126,30050,30800,29700,30250,2807447,LG디스플레이
173249,20170131,30500,31000,30450,30650,1859931,LG디스플레이
173250,20170201,30900,31200,30750,31050,1263758,LG디스플레이
173251,20170202,31000,31050,30000,30200,1753421,LG디스플레이
173252,20170203,30350,30500,29350,29550,2310602,LG디스플레이
173253,20170206,29800,29850,28850,29000,2138361,LG디스플레이
173254,20170207,28700,29200,28250,28900,2559477,LG디스플레이
173255,20170208,29000,29500,28650,29450,2019512,LG디스플레이
173256,20170209,29550,29650,28950,29350,1510874,LG디스플레이
173257,20170210,29600,29700,29150,29150,1093140,LG디스플레이
173258,20170213,28550,28550,27550,28050,3381341,LG디스플레이
173259,20170214,28100,28600,28050,28450,1712915,LG디스플레이
173260,20170215,28450,28500,27700,27850,2637807,LG디스플레이
173261,20170216,27850,28400,27700,28200,1355675,LG디스플레이
173262,20170217,28300,28650,28050,28400,1436569,LG디스플레이
173263,20170220,28450,28500,28000,28100,1231893,LG디스플레이
173264,20170221,28250,29150,28250,28700,2255032,LG디스플레이
173265,20170222,28900,28950,28250,28450,1558980,LG디스플레이
173266,20170223,28600,28750,28350,28550,1240462,LG디스플레이
173267,20170224,28650,28650,27550,27650,2408188,LG디스플레이
173268,20170227,27700,27800,27050,27300,2061642,LG디스플레이
173269,20170228,27500,27650,27150,27400,1949940,LG디스플레이
173270,20170302,27850,27900,27200,27700,2139695,LG디스플레이
173271,20170303,27650,28100,27450,28050,1738145,LG디스플레이
173272,20170306,28000,28100,27400,27900,1161119,LG디스플레이
173273,20170307,27950,28600,27750,28600,2157918,LG디스플레이
173274,20170308,28700,28900,28250,28400,1911122,LG디스플레이
173275,20170309,28600,28750,28250,28450,1043082,LG디스플레이
173276,20170310,28550,28600,27750,27900,1544641,LG디스플레이
173277,20170313,27900,28150,27750,28000,979192,LG디스플레이
173278,20170314,28200,28550,28200,28250,1562947,LG디스플레이
173279,20170315,28000,28200,27800,27850,1214044,LG디스플레이
173280,20170316,28100,28300,27950,28200,1376478,LG디스플레이
173281,20170317,28150,28300,27850,28000,1796081,LG디스플레이
173282,20170320,28350,28400,27950,28050,975074,LG디스플레이
173283,20170321,28250,28950,28150,28900,2741870,LG디스플레이
173284,20170322,28900,29900,28900,29500,4025356,LG디스플레이
173285,20170323,29750,30050,29300,29300,2523882,LG디스플레이
173286,20170324,29400,29800,29050,29400,1545915,LG디스플레이
173287,20170327,29650,30000,28900,29000,1380080,LG디스플레이
173288,20170328,29250,29400,28800,29200,1124695,LG디스플레이
173289,20170329,29600,30500,29450,30450,3222461,LG디스플레이
173290,20170330,30750,31150,29950,30100,2653873,LG디스플레이
173291,20170331,30300,30350,30000,30250,1191669,LG디스플레이
173292,20170403,30400,30450,29900,30250,1052040,LG디스플레이
173293,20170404,30250,30650,30000,30150,955304,LG디스플레이
173294,20170405,30150,30350,29650,30350,1649036,LG디스플레이
173295,20170406,30050,30250,29500,29800,1606601,LG디스플레이
173296,20170407,30050,30350,29750,29850,753079,LG디스플레이
173297,20170410,30650,30750,29900,30100,1679793,LG디스플레이
173298,20170411,30600,30850,30300,30850,1942274,LG디스플레이
173299,20170412,30850,30850,30050,30400,1484669,LG디스플레이
173300,20170413,30450,30900,30200,30900,1526443,LG디스플레이
173301,20170414,30750,30950,30350,30500,733994,LG디스플레이
173302,20170417,30850,31050,30750,30800,833586,LG디스플레이
173303,20170418,31100,31350,30600,30850,1362733,LG디스플레이
173304,20170419,30700,31050,30350,30600,1020224,LG디스플레이
173305,20170420,30600,30900,29600,29800,3043545,LG디스플레이
